"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
64,-0.424473314080137,234.126464565241,"sadness","Right FPC","Average_eye_openness","ET","V1_pooled"
71,-0.383660455943352,114.495471816822,"disgust","Left VLPFC","Total_duration_of_fixations","ET","V1_pooled"
65,-0.385170665416393,71.1181176731028,"joy","Right VLPFC","Average_pupil_diameter","ET","V1_pooled"
68,-0.381361292100957,69.4369959695452,"disgust","Left VLPFC","Average_eye_openness","ET","V1_pooled"
65,-0.370827200994232,49.652314617861,"joy","Right VLPFC","Total_duration_of_fixations","ET","V1_pooled"
65,-0.371188459190126,43.4122603285523,"sadness","Right VLPFC","Average_eye_openness","ET","V1_pooled"
67,-0.361011723912996,37.5968283909812,"sadness","Left FPC","Average_eye_openness","ET","V1_pooled"
72,-0.348750220329185,36.4820414376051,"joy","Right DLPFC","Total_duration_of_fixations","ET","V1_pooled"
67,-0.348270310673398,28.2737802719653,"disgust","Left FPC","Average_eye_openness","ET","V1_pooled"
68,-0.34740062488806,27.390744648003,"joy","Right DLPFC","Average_eye_openness","ET","V1_pooled"
64,-0.352250513632166,25.4292753020093,"disgust","Right FPC","Average_eye_openness","ET","V1_pooled"
70,-0.332739994694005,20.5012807141866,"sadness","Left DLPFC","Average_pupil_diameter","ET","V1_pooled"
70,-0.331312367553963,19.3350067674962,"fear","Left FPC","Average_pupil_diameter","ET","V1_pooled"
71,-0.328335173941269,19.2185378308103,"joy","Left VLPFC","Total_duration_of_fixations","ET","V1_pooled"
65,-0.333732481090295,17.2184304329256,"fear","Right VLPFC","Average_pupil_diameter","ET","V1_pooled"
73,-0.312005862465547,14.7944574063052,"sadness","Left OFC","Total_duration_of_fixations","ET","V1_pooled"
73,-0.313979080412477,14.7944574063052,"sadness","Right OFC","Total_duration_of_fixations","ET","V1_pooled"
71,-0.314003620699975,13.0315100564155,"joy","Left VLPFC","Number_of_fixations","ET","V1_pooled"
65,-0.310441985435658,10.439062371903,"disgust","Right VLPFC","Number_of_fixations","ET","V1_pooled"
