"N","r","BF10","Emotion","ROI","Outcome","OutcomeType","version"
19,-0.497374801578459,10.9263743451062,"sadness","Right FPC","Average_eye_openness","ET","V2_ptagg"
19,-0.450357611214051,6.43710022704285,"sadness","Left FPC","Average_eye_openness","ET","V2_ptagg"
20,-0.443243695498181,5.88881277539603,"sadness","Right FPC","Total_duration_of_fixations","ET","V2_ptagg"
20,-0.414595108849425,4.71688814545837,"anger","Right FPC","Average_pupil_diameter","ET","V2_ptagg"
18,-0.425004938833709,4.22253518175234,"joy","Right VLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.409046704595232,3.94703668654873,"disgust","Left VLPFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.415584167909958,3.92129596311248,"disgust","Right FPC","Average_eye_openness","ET","V2_ptagg"
20,0.386205185635954,3.22675636065852,"anger","Right DLPFC","Q4","Survey","V2_ptagg"
20,-0.375271436706838,3.20047127282458,"fear","Left FPC","Average_pupil_diameter","ET","V2_ptagg"
20,-0.368929150654471,2.94046759972365,"disgust","Right DLPFC","Number_of_fixations","ET","V2_ptagg"
19,-0.383875043954709,2.8645869270456,"disgust","Left FPC","Average_eye_openness","ET","V2_ptagg"
19,-0.364658394455669,2.69289074281411,"disgust","Left VLPFC","Average_eye_openness","ET","V2_ptagg"
19,-0.363907725093294,2.63641976836452,"sadness","Left DLPFC","Average_pupil_diameter","ET","V2_ptagg"
19,-0.371681179671655,2.61177665379385,"sadness","Left VLPFC","Average_eye_openness","ET","V2_ptagg"
19,-0.368761087933584,2.60385109329456,"joy","Left OFC","Number_of_fixations","ET","V2_ptagg"
19,-0.364669526028616,2.60385109329456,"joy","Right OFC","Number_of_fixations","ET","V2_ptagg"
19,-0.359437129929638,2.47544334774093,"disgust","Left OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.371370339058829,2.47544334774093,"disgust","Right OFC","Total_duration_of_fixations","ET","V2_ptagg"
18,-0.367861413572274,2.46749478704122,"disgust","Right VLPFC","Number_of_fixations","ET","V2_ptagg"
20,0.3579782804444,2.44581435012578,"anger","Right DLPFC","Q3","Survey","V2_ptagg"
19,-0.351956092308551,2.43378094343267,"sadness","Left OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.356177143352287,2.43378094343267,"sadness","Right OFC","Total_duration_of_fixations","ET","V2_ptagg"
18,-0.358085865611802,2.39230305487708,"fear","Right VLPFC","Average_pupil_diameter","ET","V2_ptagg"
20,0.354437778586406,2.36349321772432,"anger","Left VLPFC","Q4","Survey","V2_ptagg"
20,0.335736957790866,2.14994469759516,"sadness","Right DLPFC","Q3","Survey","V2_ptagg"
20,-0.344072283291225,2.14517571693136,"joy","Left VLPFC","Number_of_fixations","ET","V2_ptagg"
18,-0.349439627042273,2.14056242263281,"sadness","Left OFC","Average_eye_openness","ET","V2_ptagg"
18,-0.345917672031529,2.14056242263281,"sadness","Right OFC","Average_eye_openness","ET","V2_ptagg"
19,-0.345942286828507,2.10413816307538,"joy","Left OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.347123956039554,2.10413816307538,"joy","Right OFC","Total_duration_of_fixations","ET","V2_ptagg"
19,-0.341747917353514,2.02802387435939,"joy","Left VLPFC","Average_eye_openness","ET","V2_ptagg"
19,-0.342034410966242,2.01982467242429,"disgust","Left OFC","Number_of_fixations","ET","V2_ptagg"
19,-0.343483212547232,2.01982467242429,"disgust","Right OFC","Number_of_fixations","ET","V2_ptagg"
18,-0.335407251430893,1.98936962294469,"joy","Right VLPFC","Number_of_fixations","ET","V2_ptagg"
20,-0.339749808085888,1.98023757268322,"sadness","Left VLPFC","Total_duration_of_fixations","ET","V2_ptagg"
18,-0.334421581702658,1.9692659608589,"sadness","Left DLPFC","Average_eye_openness","ET","V2_ptagg"
20,0.313841698323258,1.82969843938077,"anger","Right DLPFC","Q_mean","Survey","V2_ptagg"
20,-0.329130621489694,1.79163854016329,"joy","Left FPC","Number_of_fixations","ET","V2_ptagg"
18,-0.327094920081339,1.77307830640361,"joy","Right VLPFC","Total_duration_of_fixations","ET","V2_ptagg"
